num_pays,code_pays,pays,Dispo_proteine_g_personne_jour,person_2021,Taux_change_unit_devises_local_par_$US_Moy_period,Stabilité_Politique,PIB_par_habitant,lpi_AVG_2007_2022,Inflation_prix_à_la consommation_%_annuel,Governance_Performance,"Cost of animal source foods valeur 
(PPP dollar per person per day)",Corruption_Value,mediane_epi,Quantité_production_poulet_kg_par_pers
630,PRI,Porto Rico,25.15,3262693.0,17.300494354999998,0.49,29655.59432,2.64,3.475403203,-0.3,1.0,0.37,45.599999999999994,7.502697924689819
620,PRT,Portugal,40.9,10361831.0,17.300494354999998,0.94,18753.75028,3.45,1.265657191,0.95,0.7,0.74,67.0,28.956272303611204
604,PER,Pérou,25.3,33715471.0,3.880554131,-0.36,16368.21268,2.72,4.271663815,-0.29,1.0,-0.65,44.0,51.952642156474695
634,QAT,Qatar,37.4,2688235.0,3.64,0.83,244982.2514,3.32,2.304465657,1.08,0.7,0.78,37.1,13.147660081800884
642,ROU,Roumanie,28.8,19122059.0,4.160416667,0.18,24691.72384,2.97,5.052328761,-0.045,1.0,-0.055,64.7,23.629777525526933
826,GBR,Royaume-Uni,36.2,67026292.0,0.7270649447,0.49,30036.83742,3.96,2.518371096,1.24,0.5,1.64,79.89,27.46683346290438
643,RUS,Russie,34.8,144746762.0,73.65435,-0.71,639677.9375,2.64,6.69445892,-0.21,0.6,-0.92,50.5,31.899421694835564
646,RWA,Rwanda,3.7,13461888.0,988.6248066,0.07,727147.9305,2.42,-0.3913467483,0.23,1.4,0.57,33.8,0.999688899506518
732,ESH,République arabe sahraouie démocratique,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
140,CAF,République centrafricaine,17.6,5457154.0,554.530675,-2.13,142576.5467,2.5,4.259364175,-1.67,1.3,-1.25,36.9,1.1809085834850914
214,DOM,République dominicaine,24.4,11117873.0,57.22111667,0.29,247418.696,2.58,8.24300348,0.0,1.2,-0.59,46.3,31.255223008933452
178,COG,République du Congo,22.6,5835806.0,554.530675,-0.23,761600.7112,2.38,1.715642755,-1.32,1.1,-1.39,40.1,1.1795799928921558
180,COD,République démocratique du Congo,2.3,95894118.0,1989.391471,0.18,142646.017,2.38,3.475403203,-0.045,1.7,-0.055,36.4,0.10982946837260654
652,BLM,Saint-Barthélemy,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
659,KNA,Saint-Christophe-et-Niévès,43.3,47606.0,2.7,0.95,42417.34235,2.64,1.19568887,0.36,0.7,0.41,45.599999999999994,0.34659496702096376
674,SMR,Saint-Marin,25.15,33745.0,0.8453765644,1.17,36897.98925,2.64,3.475403203,1.75,1.0,1.28,45.599999999999994,1771.5217069195437
534,SXM,Saint-Martin,25.15,40708.0,1.79,0.18,55696.48718,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,1468.5074186892011
663,MAF,Saint-Martin,25.15,31948.0,17.300494354999998,0.18,15984.49042,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,1871.1656441717791
666,SPM,Saint-Pierre-et-Miquelon,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
336,VAT,Saint-Siège (État de la Cité du Vatican),25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
670,VCT,Saint-Vincent-et-les-Grenadines,48.9,104332.0,2.7,1.04,22342.71364,2.64,1.572729325,0.3,0.8,0.77,53.2,4.339033086684814
654,SHN,"Sainte-Hélène, Ascension et Tristan da Cunha",25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
