de Post-dividende démographique,PST,,"3,528787879","3,494705882","3,536","3,5521762","3,577021343","3,584","3,683333333","3,5521762"
Polynésie française,PYF,,,,,,,,,#NUM!
Qatar,QAT,,3,"2,57","3,25","3,550252","3,543672","3,42","3,9","3,42"
Roumanie,ROU,,"2,86","2,68","2,83","3,19678","2,820534","3,07","3,3","2,86"
Fédération de Russie,RUS,,"2,46","2,51","2,65","2,739834","2,760561","2,75","2,6","2,65"
Rwanda,RWA,,"1,67","1,85","2,06","2,639394","2,868034","2,85",3,"2,639394"
Asie du Sud,SAS,,"2,324285714","2,3325","2,584285714","2,65656625","2,555364143","2,455","2,7","2,555364143"
Arabie saoudite,SAU,,"2,88","3,33","2,99","3,112258","3,002477","2,86","3,3","3,002477"
Soudan,SDN,,"2,83","2,15","2,33","2,180369","2,360965","2,51","2,4","2,360965"
Sénégal,SEN,,"2,73","2,73","2,55","2,525","2,39391","2,11",,"2,5375"
Singapour,SGP,,"4,21","4,12","4,07","3,966698","4,09353","4,1","4,4","4,1"
Îles Salomon,SLB,,"2,1","2,27","2,14","2,717172","2,431453","2,73","2,9","2,431453"
Sierra Leone,SLE,,"1,91","1,53","1,98",,"1,847245",2,,"1,91"
El Salvador,SLV,,"2,53","2,66","2,6","3,163062","2,660097","2,56","2,7","2,66"
Saint-Marin,SMR,,,,,,,,,#NUM!
Somalie,SOM,,"2,25","1,33",,"1,75","1,846939","2,3","1,8","1,8234695"
Serbie,SRB,,"2,29","2,55","2,8","3,018467","2,791071","2,7","2,7","2,7"
Afrique subsaharienne (hors revenu élevé),SSA,,"2,328717949","2,283333333","2,422162162","2,409198405","2,421435275","2,38974359","2,569230769","2,409198405"
Soudan du Sud,SSD,,,,,,,,,#NUM!
Afrique subsaharienne,SSF,,"2,328717949","2,283333333","2,422162162","2,409198405","2,421435275","2,38974359","2,569230769","2,409198405"
Petits états,SST,,"2,34","2,560666667","2,583125","2,687218875","2,629144938","2,647647059","2,88","2,629144938"
