Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
QCL,Cultures et produits animaux,620,Portugal,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,300040,A,Chiffre officiel
QCL,Cultures et produits animaux,634,Qatar,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,35344,A,Chiffre officiel
QCL,Cultures et produits animaux,760,République arabe syrienne,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,113313,A,Chiffre officiel
QCL,Cultures et produits animaux,140,République centrafricaine,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"6444,4",I,Valeur imputée
QCL,Cultures et produits animaux,410,République de Corée,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,935000,X,Ciffre de sources internationales
QCL,Cultures et produits animaux,498,République de Moldova,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"51599,9",I,Valeur imputée
QCL,Cultures et produits animaux,180,République démocratique du Congo,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,10532,A,Chiffre officiel
QCL,Cultures et produits animaux,418,République démocratique populaire lao,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"36417,4",I,Valeur imputée
QCL,Cultures et produits animaux,214,République dominicaine,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"347491,6",A,Chiffre officiel
QCL,Cultures et produits animaux,408,République populaire démocratique de Corée,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"30902,2",I,Valeur imputée
QCL,Cultures et produits animaux,834,République-Unie de Tanzanie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,86206,A,Chiffre officiel
QCL,Cultures et produits animaux,642,Roumanie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,451850,A,Chiffre officiel
